epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
35,2950.39,0.90076,1.8223,1.18356,0.28317,0.40403,0.34294,0.24333,0.84338,1.81878,1.17052,0.000315778,0.000315778,0.000315778
36,3024.73,0.88257,1.80227,1.16392,0.50414,0.36926,0.37283,0.26087,0.86875,1.86484,1.19186,0.000311066,0.000311066,0.000311066
37,3098.96,0.88461,1.88539,1.17064,0.35741,0.38252,0.3698,0.26831,0.84323,1.77336,1.17447,0.000306354,0.000306354,0.000306354
38,3173.02,0.86753,1.76625,1.16674,0.36159,0.37418,0.34297,0.25441,0.83167,1.83051,1.17345,0.000301641,0.000301641,0.000301641
39,3247.46,0.8649,1.73162,1.16146,0.33635,0.41664,0.37351,0.28504,0.82211,1.60558,1.13183,0.000296929,0.000296929,0.000296929
40,3321.77,0.83678,1.70101,1.13855,0.45727,0.384,0.39563,0.30844,0.80029,1.44174,1.10605,0.000292216,0.000292216,0.000292216
41,3395.61,0.85649,1.78323,1.14213,0.41965,0.36647,0.39274,0.29861,0.76054,1.58945,1.0856,0.000287504,0.000287504,0.000287504
42,3469.93,0.87049,1.75431,1.1505,0.52338,0.35045,0.37446,0.28864,0.80605,1.57508,1.13611,0.000282792,0.000282792,0.000282792
43,3544.29,0.84463,1.77814,1.14714,0.35435,0.45709,0.39612,0.29833,0.79793,1.6221,1.11151,0.000278079,0.000278079,0.000278079
44,3618.42,0.83259,1.7532,1.13551,0.5118,0.3841,0.4031,0.31091,0.77739,1.47862,1.10093,0.000273367,0.000273367,0.000273367
45,3692.87,0.83348,1.6271,1.13224,0.47506,0.38332,0.39662,0.29996,0.78581,1.5861,1.09793,0.000268654,0.000268654,0.000268654
46,3767.18,0.83503,1.71167,1.13655,0.37505,0.4288,0.40283,0.30324,0.81769,1.48095,1.13473,0.000263942,0.000263942,0.000263942
47,3841.46,0.82728,1.69801,1.12211,0.35989,0.4389,0.40205,0.30295,0.7942,1.56355,1.12953,0.00025923,0.00025923,0.00025923
48,3916.15,0.84354,1.62817,1.14372,0.44219,0.40997,0.40064,0.29664,0.81988,1.5683,1.14213,0.000254517,0.000254517,0.000254517
49,3990.83,0.84558,1.65496,1.14009,0.4151,0.40378,0.39005,0.29377,0.82364,1.53057,1.13668,0.000249805,0.000249805,0.000249805
50,4064.86,0.80374,1.61596,1.13705,0.48249,0.36239,0.4007,0.30151,0.79057,1.44617,1.13899,0.000245092,0.000245092,0.000245092
51,4138.85,0.83493,1.60835,1.13773,0.39274,0.44989,0.41615,0.31592,0.80042,1.47331,1.13112,0.00024038,0.00024038,0.00024038
52,4213.75,0.80774,1.55196,1.1113,0.48387,0.38679,0.39083,0.29368,0.80041,1.52264,1.12861,0.000235668,0.000235668,0.000235668
53,4288.36,0.8316,1.59272,1.13388,0.34418,0.49716,0.40087,0.30749,0.78857,1.47462,1.11532,0.000230955,0.000230955,0.000230955
54,4363.11,0.80057,1.54755,1.11694,0.43498,0.42472,0.40371,0.30021,0.81093,1.52655,1.12239,0.000226243,0.000226243,0.000226243
55,4440.47,0.81288,1.56544,1.12169,0.59769,0.39202,0.41278,0.313,0.79562,1.49959,1.12935,0.00022153,0.00022153,0.00022153
56,4517.7,0.78029,1.5518,1.10207,0.58025,0.4045,0.41889,0.3258,0.77701,1.50148,1.11946,0.000216818,0.000216818,0.000216818
57,4590.28,0.8404,1.58297,1.13508,0.56568,0.38877,0.40243,0.31187,0.77701,1.49794,1.11567,0.000212106,0.000212106,0.000212106
58,4662.06,0.81873,1.50569,1.12482,0.6027,0.35753,0.40912,0.30863,0.78846,1.47278,1.12211,0.000207393,0.000207393,0.000207393
59,4733.65,0.81262,1.46976,1.10901,0.48455,0.40959,0.4045,0.31502,0.76885,1.41794,1.10149,0.000202681,0.000202681,0.000202681
60,4805.84,0.7945,1.49127,1.11742,0.57966,0.39008,0.41176,0.32018,0.78272,1.43179,1.12103,0.000197968,0.000197968,0.000197968
61,4878.21,0.78841,1.48137,1.11687,0.4311,0.4162,0.42491,0.33414,0.76137,1.42674,1.09627,0.000193256,0.000193256,0.000193256
62,4950.01,0.79165,1.52578,1.10952,0.40917,0.42039,0.41723,0.31783,0.77245,1.39789,1.10289,0.000188544,0.000188544,0.000188544
63,5022.52,0.77165,1.47693,1.09588,0.55881,0.39244,0.43535,0.33092,0.76001,1.37551,1.0997,0.000183831,0.000183831,0.000183831
64,5094.65,0.7798,1.45205,1.09165,0.51018,0.38848,0.42251,0.32186,0.7682,1.441,1.09791,0.000179119,0.000179119,0.000179119
65,5167,0.76054,1.54151,1.07723,0.4595,0.4434,0.41855,0.32775,0.7763,1.43798,1.09793,0.000174406,0.000174406,0.000174406
66,5239.05,0.76983,1.43834,1.09959,0.48559,0.46785,0.446,0.33851,0.75944,1.38481,1.08857,0.000169694,0.000169694,0.000169694
67,5310.92,0.77032,1.42783,1.09417,0.45527,0.45659,0.44159,0.33916,0.7564,1.41802,1.08766,0.000164982,0.000164982,0.000164982
68,5382.95,0.77796,1.45178,1.09207,0.37803,0.47189,0.42228,0.33058,0.74609,1.46661,1.07684,0.000160269,0.000160269,0.000160269
69,5455.86,0.74501,1.43051,1.08838,0.47723,0.40361,0.42273,0.32663,0.75245,1.45159,1.08362,0.000155557,0.000155557,0.000155557
70,5527.92,0.78915,1.45508,1.09664,0.39725,0.45898,0.42121,0.31835,0.75452,1.4786,1.10061,0.000150844,0.000150844,0.000150844
71,5600.93,0.77444,1.36383,1.0862,0.39266,0.44459,0.43514,0.32811,0.76551,1.3971,1.11299,0.000146132,0.000146132,0.000146132
72,5672.47,0.76344,1.40254,1.09299,0.39421,0.50306,0.43733,0.33464,0.78224,1.37171,1.10686,0.00014142,0.00014142,0.00014142
73,5744.5,0.7621,1.36318,1.09219,0.47828,0.42446,0.41755,0.32718,0.73651,1.40172,1.0835,0.000136707,0.000136707,0.000136707
74,5816.56,0.72775,1.39558,1.08368,0.40981,0.4435,0.42368,0.32882,0.75794,1.36117,1.08335,0.000131995,0.000131995,0.000131995
75,5888.26,0.76012,1.42572,1.09689,0.41459,0.43913,0.43047,0.33232,0.77394,1.43836,1.11617,0.000127282,0.000127282,0.000127282
76,5960.16,0.7563,1.34029,1.07635,0.3783,0.47074,0.42998,0.33183,0.76634,1.37659,1.11651,0.00012257,0.00012257,0.00012257
77,6032.58,0.73983,1.36355,1.07662,0.40447,0.46821,0.4315,0.33873,0.75364,1.36171,1.10137,0.000117858,0.000117858,0.000117858
78,6104.44,0.75063,1.36709,1.07985,0.45891,0.41165,0.43565,0.34094,0.75693,1.38026,1.11693,0.000113145,0.000113145,0.000113145
79,6176.39,0.7218,1.34264,1.06288,0.46445,0.42592,0.44117,0.34262,0.76129,1.35913,1.11111,0.000108433,0.000108433,0.000108433
80,6247.84,0.72832,1.34488,1.06469,0.53717,0.40903,0.44048,0.3422,0.75163,1.31918,1.09599,0.00010372,0.00010372,0.00010372
81,6320.01,0.73729,1.34534,1.07599,0.40619,0.45441,0.44463,0.34194,0.76278,1.33035,1.12069,9.9008e-05,9.9008e-05,9.9008e-05
82,6392.17,0.73391,1.3029,1.07152,0.40597,0.45421,0.43597,0.33475,0.77366,1.35525,1.1212,9.42956e-05,9.42956e-05,9.42956e-05
83,6464,0.73376,1.36587,1.06551,0.41045,0.4701,0.43936,0.34279,0.7584,1.31702,1.10247,8.95832e-05,8.95832e-05,8.95832e-05
84,6535.63,0.71156,1.32524,1.06748,0.46846,0.4313,0.44289,0.34626,0.74276,1.35896,1.08488,8.48708e-05,8.48708e-05,8.48708e-05
85,6607.56,0.73075,1.30429,1.07301,0.46735,0.45559,0.44674,0.35056,0.73309,1.32417,1.08645,8.01584e-05,8.01584e-05,8.01584e-05
86,6679.99,0.7256,1.3109,1.06375,0.43432,0.43315,0.44067,0.34349,0.74448,1.34518,1.09279,7.5446e-05,7.5446e-05,7.5446e-05
87,6752.08,0.70579,1.30854,1.05322,0.43305,0.46912,0.45163,0.34871,0.74202,1.31288,1.09679,7.07336e-05,7.07336e-05,7.07336e-05
88,6824.11,0.73016,1.29626,1.07126,0.56204,0.40848,0.45251,0.35235,0.7446,1.29893,1.09561,6.60212e-05,6.60212e-05,6.60212e-05
89,6895.85,0.72131,1.30436,1.07873,0.49136,0.41095,0.44973,0.3442,0.75686,1.3581,1.11076,6.13088e-05,6.13088e-05,6.13088e-05
90,6967.94,0.72463,1.28376,1.06944,0.5259,0.40394,0.45301,0.34749,0.75313,1.34,1.10925,5.65964e-05,5.65964e-05,5.65964e-05
91,7062.38,0.64069,1.13777,1.00597,0.53386,0.4118,0.45004,0.34799,0.73956,1.31672,1.1045,5.1884e-05,5.1884e-05,5.1884e-05
92,7134.08,0.63235,1.12378,1.011,0.53149,0.40954,0.45019,0.34925,0.74351,1.32391,1.09625,4.71716e-05,4.71716e-05,4.71716e-05
93,7206.07,0.62904,1.10527,1.00472,0.58361,0.38507,0.45094,0.35268,0.73171,1.30938,1.08574,4.24592e-05,4.24592e-05,4.24592e-05
94,7278.13,0.6173,1.08231,0.98811,0.45473,0.45134,0.44343,0.34515,0.72745,1.34696,1.08194,3.77468e-05,3.77468e-05,3.77468e-05
95,7350.87,0.6101,1.07036,0.99416,0.55664,0.40392,0.44609,0.34772,0.72691,1.35545,1.08383,3.30344e-05,3.30344e-05,3.30344e-05
96,7423.04,0.60875,1.07026,1.00069,0.56459,0.41235,0.45321,0.35066,0.72988,1.34478,1.08742,2.8322e-05,2.8322e-05,2.8322e-05
97,7494.66,0.61075,1.05479,0.99991,0.44614,0.46024,0.44297,0.34357,0.74119,1.35817,1.08967,2.36096e-05,2.36096e-05,2.36096e-05
98,7571.29,0.60491,1.02953,0.98537,0.46481,0.46461,0.44971,0.34862,0.73974,1.35035,1.08982,1.88972e-05,1.88972e-05,1.88972e-05
99,7644.7,0.6055,1.02271,0.99824,0.45361,0.46224,0.45029,0.35142,0.73244,1.34742,1.08314,1.41848e-05,1.41848e-05,1.41848e-05
100,7716.6,0.59432,1.04725,0.98434,0.44623,0.48293,0.44764,0.35059,0.72782,1.36724,1.08429,9.4724e-06,9.4724e-06,9.4724e-06
